Name	Set	ImageFile	Civilization	Type	Cost	Race	Text	Power
Hanusa, Radiance Elemental	DM01	Hanusa	Light	Creature	7	Angel Command	Double Breaker	9500
Urth, Purifying Elemental	DM01	Urth	Light	Creature	6	Angel Command	Double Breaker, At the end of each of your turns, you may untap this creature.	6000
Aqua Sniper	DM01	AquaSniper	Water	Creature	8	Liquid People	When you put this creature into the battle zone, choose up to 2 creatures in the battle zone and return them to their owners' hands.	5000
King Depthcon	DM01	Depthcon	Water	Creature	7	Leviathan	Double Breaker, This creature can't be blocked.	6000
Deathliger, Lion of Chaos	DM01	Deathliger	Darkness	Creature	7	Demon Command	Double Breaker	9000
Zagaan, Knight of Darkness	DM01	Zagaan	Darkness	Creature	6	Demon Command	Double Breaker	7000
Scarlet Skyterror	DM01	ScarletSkyterror	Fire	Creature	8	Armored Wyvern	When you put this creature into the battle zone, destroy all creatures that have "blocker".	3000
Astrocomet Dragon	DM01	Astrocomet	Fire	Creature	7	Armored Dragon	Double Breaker, Power Attacker +4000	6000
Roaring Great-Horn	DM01	GreatHorn	Nature	Creature	7	Horned Beast	Double Breaker, Power Attacker +2000	8000
Deathblade Beetle	DM01	Deathblade	Nature	Creature	5	Giant Insect	Double Breaker, Power Attack +4000	3000
Gran Gure, Space Guardian	DM01	GranGure	Light	Creature	6	Guardian	Blocker, This creature can't attack players.	9000
Rayla, Truth Enforcer	DM01	Rayla	Light	Creature	6	Berserker	When you put this creature into the battle zone, search your deck. You may take a spell from your deck, show that spell to your opponent, and put it into your hand. Then shuffle your deck.	3000
King Ripped-Hide	DM01	RippedHide	Water	Creature	7	Leviathan	When you put this creature into the battle zone, draw up to 2 cards.	5000
Seamine	DM01	Seamine	Water	Creature	6	Fish	Blocker	4000
Vampire Silphy	DM01	Silphy	Darkness	Creature	8	Dark Lord	When you put this creature into the battle zone, destroy all creatures that have power 3000 or less.	4000
Gigargon	DM01	Gigargon	Darkness	Creature	8	Chimera	When you put this creature into the battle zone, return up to 2 creatures from your graveyard to your hand.	3000
Gatling Skyterror	DM01	Gatling	Fire	Creature	7	Armored Wyvern	Double Breaker, This creature can attack untapped creatures.	7000
Bolshack Dragon	DM01	OGBolshack	Fire	Creature	6	Armored Dragon	Double Breaker, While attacking, this creature gets +1000 power for each fire card in your graveyard.	6000
Tower Shell	DM01	TowerShell	Nature	Creature	6	Colony Beetle	This creature can't be blocked by any creature that has power 4000 or less.	5000
Thorny Mandra	DM01	Mandra	Nature	Creature	5	Tree Folk	When you put this creature into the battle zone, you may put 1 creature from your graveyard into your mana zone.	4000
Szubs Kin, Twilight Guardian	DM01	Szubs	Light	Creature	5	Guardian	Blocker, This creature can't attack players.	6000
Lah, Purification Enforcer	DM01	Lah	Light	Creature	5	Berserker		5500
Dia Nork, Moonlight Guardian	DM01	DiaNork	Light	Creature	4	Guardian	Blocker, This creature can't attack players.	5000
Chilias, The Oracle	DM01	Chilias	Light	Creature	4	Light Bringer	When this creature would be destroyed, put it into your hand instead.	2500
Holy Awe	DM01	HolyAwe	Light	Spell	6		Shield Trigger, Tap all your opponent's creatures in the battle zone.	
Laser Wing	DM01	LaserWing	Light	Spell	5		Choose up to 2 of your creatures in the battle zone. They can't be blocked this turn.	
Aqua Knight	DM01	AquaKnight	Water	Creature	5	Liquid People	When this creature would be destroyed, return it to your hand instead.	4000
Sauce-Head Shark	DM01	Saucer	Water	Creature	5	Gel Fish	When you put this creature into the battle zone, return all creatures in the battle zone that have power 2000 or less to its owner's hand.	3000
Tropico	DM01	Tropico	Water	Creature	5	Cyber Lord	This creature can't be blocked while you have at least 2 other creatures in the battle zone.	3000
Unicorn Fish	DM01	UnicornFish	Water	Creature	4	Fish	When you put this creature into the battle zone, you may choose 1 creature in the battle zone and return it to its owner's hand.	1000
Teleportation	DM01	Teleport	Water	Spell	5		Choose up to 2 creatures in the battle zone and return them to their owners' hands.	
Crystal Memory	DM01	CrysMemory	Water	Spell	4		Shield Trigger, Search your deck. You may take a card from your deck and put it into your hand. Then shuffle your deck.	
Night Master, Shadow of Decay	DM01	NightMaster	Darkness	Creature	6	Ghost	Blocker	3000
